kode_mhs,nama_prodi,id_smt,kode_mk,nama_mk,RMK,sks,nilai_akhir,nilai_huruf,Tahun angkatan,Semester_sekarang,Deskripsi Matkul
5025211001,Teknik Informatika,1,SM234101,Calculus 1,Non-Rumpun,3,89,A,2021,8,wajib
5025211001,Teknik Informatika,1,EF234101,Fundamental Programming,Algoritma Pemrograman (ALPRO),4,97,A,2021,8,wajib
5025211001,Teknik Informatika,1,EF234102,Digital System,Komputasi Berbasis Jaringan (KBJ),3,56,C,2021,8,wajib
5025211001,Teknik Informatika,1,EF234103,Linear Algebra,Pemodelan & Komputasi Terapan (PKT),3,43,D,2021,8,wajib
5025211001,Teknik Informatika,1,EF234104,Database System,Manajemen Cerdas Informasi (MCI),4,84,AB,2021,8,wajib
5025211001,Teknik Informatika,2,EF234201,Data Structure,Algoritma Pemrograman (ALPRO),4,59,C,2021,8,wajib
5025211001,Teknik Informatika,2,EF234202,Operating System,Komputasi Berbasis Jaringan (KBJ),4,73,B,2021,8,wajib
5025211001,Teknik Informatika,2,EF234203,Computer Organization,Komputasi Berbasis Jaringan (KBJ),3,100,A,2021,8,wajib
5025211001,Teknik Informatika,2,EF234204,Numerical Computation,Pemodelan & Komputasi Terapan (PKT),3,86,A,2021,8,wajib
5025211001,Teknik Informatika,2,SM234201,Calculus 2,Non-Rumpun,3,63,BC,2021,8,wajib
5025211001,Teknik Informatika,2,EW234201,Introduction to Intelligent Electrical and Informatics Technology,Non-Rumpun,2,74,B,2021,8,wajib
5025211001,Teknik Informatika,3,EF234301,Web Programming,Algoritma Pemrograman (ALPRO),3,94,A,2021,8,wajib
5025211001,Teknik Informatika,3,EF234302,Object Oriented Programming,Algoritma Pemrograman (ALPRO),3,60,C,2021,8,wajib
5025211001,Teknik Informatika,3,EF234303,Computer Network,Komputasi Berbasis Jaringan (KBJ),4,60,C,2021,8,wajib
5025211001,Teknik Informatika,3,EF234304,Graph Theory,Pemodelan & Komputasi Terapan (PKT),3,91,A,2021,8,wajib
5025211001,Teknik Informatika,3,EF234305,Discrete Mathematics,Pemodelan & Komputasi Terapan (PKT),3,63,BC,2021,8,wajib
5025211001,Teknik Informatika,3,EK234201,Artificial Intelligence Concepts,Komputasi Cerdas Visi (KCV),3,23,E,2021,8,wajib
5025211001,Teknik Informatika,3,EF234307,Software Development Principles,Rekayasa Perangkat Lunak (RPL),2,99,A,2021,8,wajib
5025211001,Teknik Informatika,4,EF234401,Network Programming,Komputasi Berbasis Jaringan (KBJ),3,81,AB,2021,8,wajib
5025211001,Teknik Informatika,4,EF234402,Probabilistic and Statistic,Pemodelan & Komputasi Terapan (PKT),3,85,AB,2021,8,wajib
5025211001,Teknik Informatika,4,EF234403,Automata,Pemodelan & Komputasi Terapan (PKT),2,93,A,2021,8,wajib
5025211001,Teknik Informatika,4,EF234404,Database Management,Manajemen Cerdas Informasi (MCI),3,72,B,2021,8,wajib
5025211001,Teknik Informatika,4,EF234405,Algorithm Design and Analysis,Algoritma Pemrograman (ALPRO),3,81,AB,2021,8,wajib
5025211001,Teknik Informatika,4,EF234406,Machine Learning,Komputasi Cerdas Visi (KCV),3,95,A,2021,8,wajib
5025211001,Teknik Informatika,4,ER234301,Software Design,Rekayasa Perangkat Lunak (RPL),3,76,AB,2021,8,wajib
5025211001,Teknik Informatika,5,EF234501,Framework-based Programming,Algoritma Pemrograman (ALPRO),3,34,E,2021,8,wajib
5025211001,Teknik Informatika,5,EF234502,Information Security,Komputasi Berbasis Jaringan (KBJ),3,95,A,2021,8,wajib
5025211001,Teknik Informatika,5,EF234502,Information Security,Teknologi Jaringan & Keamanan Siber Cerdas (NETICS),3,88,A,2021,8,wajib
5025211001,Teknik Informatika,5,EF234503,Modeling and Simulation,Pemodelan & Komputasi Terapan (PKT),3,86,A,2021,8,wajib
5025211001,Teknik Informatika,5,EF234504,Computer Graphics,"Grafika, Interaksi, Gim dan Analitika (GIGA)",3,96,A,2021,8,wajib
